,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,artists
0,HUMBLE.,82,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,7KXjTSCq5nL1LoYtL7XAwS,177000,4,Kendrick Lamar
1,XO Tour Llif3,83,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096,7GX5flRQZVHRAGd6B4TmDO,182707,4,Lil Uzi Vert
2,Shape of You,85,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713,4,Ed Sheeran
3,Congratulations,83,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146,3a1lNhkSLSkpJE4MSHpDu9,220293,4,Post Malone
4,Despacito - Remix,8,0.694,0.815,2,-4.328,1,0.12,0.229,0.0,0.0924,0.813,88.931,5CtI0qwDJkDQGwXD1H1cLb,228827,4,Luis Fonsi
5,Mask Off,80,0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,0VgkVdmE4gld66l8iyGjgx,204600,4,Future
6,iSpy (feat. Lil Yachty),76,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,2EEeOnHehOozLq4aS0n6SL,253107,4,KYLE
7,Location,80,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,152lZdxL1OR0ZMW6KquMif,219080,4,Khalid
8,That's What I Like,81,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,0KKkJNfGyhkQ5aFogxQAPU,206693,4,Bruno Mars
9,Unforgettable,81,0.726,0.769,6,-5.043,1,0.123,0.0293,0.0101,0.104,0.733,97.985,3B54sVLJ402zGa6Xm4YGNe,233902,4,French Montana
10,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",74,0.609,0.668,7,-4.284,1,0.0367,0.0552,0.0,0.167,0.811,80.924,3DXncPQOG4VBw3QHh3S817,288600,4,DJ Khaled
11,Bad and Boujee (feat. Lil Uzi Vert),75,0.927,0.665,11,-5.313,1,0.244,0.061,0.0,0.123,0.175,127.076,4Km5HrUvYTaSUfiSGPJeQR,343150,4,Migos
12,1-800-273-8255,79,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,5tz69p7tJuGPeMGwNTxYuV,250173,4,Logic
13,goosebumps,90,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,6gBFPUFcJLzWGx4lenP6h2,243837,4,Travis Scott
14,DNA.,78,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,6HZILIRieu8S0iqY8kIKhj,185947,4,Kendrick Lamar
15,Bounce Back,74,0.78,0.575,1,-5.628,0,0.139,0.106,0.0,0.129,0.273,81.502,0SGkqnVQo9KPytSri1H6cF,222360,4,Big Sean
16,Redbone,4,0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,3kxfsdsCpFgN412fpnW85Y,326933,4,Childish Gambino
17,Fake Love,74,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,343YBumqHu19cGoGARUTsd,210937,4,Drake
18,Body Like A Back Road,77,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,7mldq42yDuxiUNn08nvzHO,165387,4,Sam Hunt
19,Passionfruit,3,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,7hDc8b7IXETo14hHIHdnhd,298941,4,Drake
20,rockstar,4,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,7wGoVu4Dady5GV0Sv4UIsx,218320,4,Post Malone
21,Stay (with Alessia Cara),4,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,0dA2Mk56wEzDgegdC6R17g,210091,4,Zedd
22,Believer,3,0.779,0.787,10,-4.305,0,0.108,0.0524,0.0,0.14,0.708,124.982,0CcQNd8CINkwQfe1RDtGV6,204347,4,Imagine Dragons
23,Tunnel Vision,74,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4Q3N4Ct4zCuIHuZ65E3BD4,268187,4,Kodak Black
24,Slide (feat. Frank Ocean & Migos),69,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,7tr2za8SQg2CI8EDgrdtNl,230813,4,Calvin Harris
25,Issues,1,0.706,0.427,8,-6.864,1,0.0879,0.413,0.0,0.0609,0.42,113.804,6D0b04NJIKfEMg040WioJQ,176320,4,Julia Michaels
26,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",4,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,3NdDpSvN911VPGivFlV5d0,245200,4,ZAYN
27,T-Shirt,69,0.865,0.687,10,-3.744,0,0.217,0.242,0.0,0.158,0.486,139.023,7KOlJ92bu51cltsD9KU5I7,242407,4,Migos
28,Bank Account,79,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,2fQrGHiQOvpL9UgPvtYy6G,220307,4,21 Savage
29,Slippery (feat. Gucci Mane),73,0.92,0.674,1,-5.662,0,0.264,0.307,0.0,0.104,0.741,141.967,6p8NuHm8uCGnn2Dtbtf7zE,304041,4,Migos
30,Something Just Like This,82,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,6RUKPb4LETWmmr3iAEQktW,247160,4,The Chainsmokers
31,It Ain't Me (with Selena Gomez),77,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,3eR23VReFzcdmS7TYCrhCe,220781,4,Kygo
32,Starboy,4,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,5aAx2yezTd8zXrkmtKl66Z,230453,4,The Weeknd
33,LOVE. FEAT. ZACARI.,79,0.8,0.585,10,-7.343,1,0.0924,0.264,0.0,0.153,0.779,126.058,6PGoSes0D9eUDeeAafB2As,213400,4,Kendrick Lamar
34,Paris,70,0.653,0.658,2,-6.428,1,0.0304,0.0215,1.66e-06,0.0939,0.219,99.99,72jbDTw1piOOj770jWNeaG,221507,4,The Chainsmokers
35,Young Dumb & Broke,82,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949,5Z3GHaZ6ec9bsiI5BenrbY,202547,4,Khalid
36,Say You Won't Let Go,84,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,5uCax9HTNlzGybIStD3vDh,211467,4,James Arthur
37,Closer,84,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,7BKLCZ1jbUBVqRi2FVlTVw,244960,4,The Chainsmokers
38,Portland,73,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,2bjwRfXMk4uRgOD9IBYl9h,236615,4,Drake
39,Drowning (feat. Kodak Black),77,0.839,0.81,5,-5.274,0,0.0568,0.501,0.0,0.117,0.814,129.014,1f5cbQtDrykjarZVrShaDI,209269,4,A Boogie Wit da Hoodie
40,Swang,73,0.681,0.314,8,-9.319,1,0.0581,0.2,9.82e-06,0.1,0.166,139.992,6mapJIPnQ23RTAevUoE0DL,208120,4,Rae Sremmurd
41,Wild Thoughts (feat. Rihanna & Bryson Tiller),74,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,1OAh8uOEOvTDqkKFsKksCi,204173,4,DJ Khaled
42,BUTTERFLY EFFECT,3,0.763,0.598,11,-6.865,1,0.0539,0.0714,0.0,0.112,0.182,140.987,1yxgsra98r3qAtxqiGZPiX,190678,4,Travis Scott
43,I Feel It Coming,69,0.773,0.819,0,-5.946,0,0.118,0.426,0.0,0.0679,0.585,92.99,5GXAXm5YOmYT0kL5jHvYBt,269187,4,The Weeknd
44,Caroline,77,0.94,0.335,5,-10.179,0,0.505,0.17,0.0,0.262,0.707,120.04,5hTpBe8h35rJ67eAWHQsJx,209640,4,Aminé
45,LOYALTY. FEAT. RIHANNA.,72,0.658,0.535,9,-8.983,0,0.0573,0.0265,0.0,0.2,0.419,110.684,6SwRhMLwNqEi6alNPVG00n,227360,4,Kendrick Lamar
46,Attention,6,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,4iLqG9SeJSnt0cSPICSjxv,211475,4,Charlie Puth
47,Magnolia,76,0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,1e1JKLEDKP7hEQzJfNAgPl,181812,4,Playboi Carti
48,Bodak Yellow,67,0.929,0.723,11,-5.792,0,0.109,0.0672,0.0,0.346,0.458,125.022,2771LMNxwf62FTAdpJMQfM,223962,4,Cardi B
