Unnamed: 0,id,name,popularity,track.track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artists,dancebility_new,tempo_rate
0,6v3KW9xbzN5yKLt9YKDYA2,Señorita,1,1,0.759,0.5479999999999999,9,-6.0489999999999995,0,0.028999999999999998,0.0392,0.0,0.0828,0.7490000000000001,116.96700000000001,190800,4,Shawn Mendes,1,fast
1,2Fxmhks0bxGSBdJ92vM42m,bad guy,1,2,0.701,0.425,7,-10.965,1,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,194088,4,Billie Eilish,1,fast
2,0RiRZpuVRbi7oqRdSMwhQY,Sunflower - Spider-Man: Into the Spider-Verse,1,12,0.755,0.522,2,-4.368,1,0.0575,0.5329999999999999,0.0,0.0685,0.925,89.96,157560,4,Post Malone,1,moderate
3,6ocbgoVGwYJhOv1GgI9NsF,7 rings,1,10,0.778,0.317,1,-10.732000000000001,0,0.33399999999999996,0.5920000000000001,0.0,0.0881,0.327,140.048,178627,4,Ariana Grande,1,fast
4,2YpeDb67231RjR0MgVLzsG,Old Town Road - Remix,1,1,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4,Lil Nas X,1,fast
5,0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),1,6,0.7979999999999999,0.6759999999999999,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947,4,Ed Sheeran,1,moderate
6,7xQAfvXzm3AkraOtGPWIZg,Wow.,1,17,0.8290000000000001,0.539,11,-7.359,0,0.20800000000000002,0.136,1.78e-06,0.10300000000000001,0.38799999999999996,99.96,149547,4,Post Malone,1,moderate
7,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,0,4,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,182161,4,Lewis Capaldi,0,fast
8,5w9c2J52mkdntKOmRLeM2m,Con Calma,1,1,0.737,0.86,8,-2.6519999999999997,0,0.0593,0.11,1.94e-06,0.0574,0.6559999999999999,93.98899999999999,193227,4,Daddy Yankee,1,moderate
9,2VxeLyX666F8uXCJ0dZF8B,Shallow,0,12,0.5720000000000001,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.32299999999999995,95.79899999999999,215733,4,Lady Gaga,0,moderate
10,2dpaYNEQHiRxtZbfNsse99,Happier,1,1,0.687,0.792,5,-2.7489999999999997,1,0.0452,0.191,0.0,0.16699999999999998,0.6709999999999999,100.015,214290,4,Marshmello,1,moderate
11,5p7ujcrUXASCNwRaWNHR1C,Without Me,1,1,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.5329999999999999,136.041,201661,4,Halsey,1,fast
12,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,1,1,0.826,0.773,11,-4.218,0,0.0524,0.32299999999999995,0.0,0.14300000000000002,0.7609999999999999,126.899,238200,4,Pedro Capó,1,fast
13,3e9HZxeyfWwjeyPAMmWSSQ,"thank u, next",1,11,0.7170000000000001,0.653,1,-5.6339999999999995,1,0.0658,0.22899999999999998,0.0,0.10099999999999999,0.41200000000000003,106.96600000000001,207320,4,Ariana Grande,1,moderate
14,22vgEDb5hykfaTwLuskFGD,Sucker,1,1,0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,181027,4,Jonas Brothers,1,fast
15,25sgk305KZfyuqVBQIahim,Sweet but Psycho,1,1,0.7190000000000001,0.7040000000000001,1,-4.724,1,0.0476,0.0691,0.0,0.166,0.628,133.002,187436,4,Ava Max,1,fast
16,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),1,1,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,171030,4,Sam Smith,1,moderate
17,4SSnFejRGlZikf02HLewEF,bury a friend,1,10,0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,193143,4,Billie Eilish,1,fast
18,0F7FA14euOIX8KcbEturGH,Old Town Road,1,8,0.907,0.53,1,-6.112,1,0.127,0.0578,2.23e-06,0.10099999999999999,0.507,135.998,113000,4,Lil Nas X,1,fast
